﻿Ubicazione;Cliente;CodiceArticolo;DescrizioneArticolo;CodiceCassa;CodiceAnima;UnitaMisura;Imballo;Note;MacchineDisponibili;Sabbia;TogliereSparo;Vernice;Colla;QuantitaPiano;NumeroPiani;Ciclo;Peso;Figure;Piastra;Maschere;Incollata;Assemblata;ArmataL;DataModificaRecord
 ;;610106;ANIMA PER COD. 0610106;;;;-2;;2;CP35B;0;;;184;;0;0,13;;0;0;0;0;;25/07/2025 15:22:52
 ;;YD4754754AB;ANIMA HYDACO 4754754AB;;YD4754754AB;;;;;;0;;;;;0;;;0;0;0;0;;12/11/2025 16:37:18
A01;MONTORSO;300130;"ANIMA A SUPP VALVOLA 003.V9AA - 010.V9AA
RIF. C.A. 506193";506193;300130 ? 010.V9 B;824;;;;310/60;1;;;824;1;0;0,5;4;0;0;0;0;;12/11/2025 15:43:13
A01;MONTORSO;300346;"ANIMA B 504385854 SUPP VALVOLA 010.V9AB
RIF. C.A. 506194";506194;300346 ? 010.V9 A;412;;;;310/60;1;;;412;1;0;0,3;2;0;0;0;0;;12/11/2025 15:43:08
A01;MONTORSO;300941;"ANIMA A 0061092 CORPO MK 2 051.19AA
RIF. C.A. 506189";506189;300941 ? 051.19 A;;;;;;0;;;;;0;;2;0;0;0;0;;10/02/2023 14:26:47
A01;MONTORSO;300942;"ANIMA B 0061092 CORPO MK 2 051.19AB
RIF. C.A. 506190";506190;300942 ? 051.19 B;;;;;;0;;;;;0;;2;0;0;0;0;;09/12/2024 15:26:00
A02;MONTORSO;300241;"ANIMA A 5CXF5SMG POMPA 006.W6AA
RIF. C.A. 506210";506210;300241 006.W6;;-1;*** attenzione , aumentare dose colla rossa;4 5 6 9 10 11 12;CP35B;1;-8;-3;;;90;1,25;2+2;0;0;1;0;;12/11/2025 15:43:45
A02;MONTORSO;300920;"049.36AA ANIMA A 340020029 CORPO VERN.
RIF. C.A. 506197";506196;300920 - 049.36 A;1000;-1;SBAVARE ESTRATTORI DENTRO LA CHIOCCIOLINA;4 5 6 9 10 11 12;310/60;1;;;;;65;;3;0;0;0;0;;20/05/2025 07:55:53
A02;MONTORSO;300921;"049.36AB ANIMA B 340020029 CORPO VERN.
RIF. C.A. 506196";506197;300921 - 049.36 B;1000;;"METTERE SOFFIATORE ARIA SU PISTONE 
PRESSIONE SPARO A 1,5 ";4 5 6 9 10 11 12;310/60;0;;;;;65;0,13;3;0;0;0;0;;20/05/2025 07:56:31
A03;MONTORSO;305015;"ANIMA A (1X3+2X3+3X3) 011675M
RIF. C.A. 514069";514069;305015;;;USARE MASCHERA PER CONTROLLO;;310/60;1;-6;-2;;;80;;1+1+1;0;0;1;0;;12/11/2025 15:45:08
